tradedate,close,volume,open,high,low
2018-08-30,111.95,22759640,111.67,112.61,111.44
2018-08-31,112.33,23217310,111.69,112.78,111.52
2018-09-04,111.71,22558040,110.85,111.96,110.22
2018-09-05,108.49,32838650,111.01,111.42,108.10
2018-09-06,108.74,23226430,108.25,108.99,107.51
2018-09-07,108.21,22273530,108.23,108.72,107.23
2018-09-10,109.38,19887280,108.84,109.64,108.36
2018-09-11,111.24,24081240,108.90,111.59,108.89
2018-09-12,111.71,18855340,111.43,111.85,110.51
2018-09-13,112.91,25107230,112.12,113.73,112.12
2018-09-14,113.37,18261950,113.36,113.73,112.44
2018-09-17,112.14,20332830,113.69,113.70,111.86
2018-09-18,113.21,22114560,112.19,113.70,111.72
2018-09-19,111.70,21663020,113.05,113.32,111.04
2018-09-20,113.57,23667500,112.28,113.80,111.93
2018-09-21,114.26,70363000,114.00,115.29,113.51
2018-09-24,114.67,25273510,113.03,114.90,112.22
2018-09-25,114.45,20782110,114.80,115.10,113.75
2018-09-26,113.98,19322530,114.47,115.06,113.74
2018-09-27,114.41,19053590,114.78,114.91,114.20
2018-09-28,114.37,20525950,114.19,114.57,113.68
2018-10-01,115.61,18610500,114.75,115.68,114.73
2018-10-02,115.15,20180030,115.30,115.84,114.44
2018-10-03,115.17,16130010,115.42,116.18,114.93
2018-10-04,112.79,34475710,114.61,114.76,111.63
2018-10-05,112.13,29062670,112.63,113.17,110.64
2018-10-08,110.85,29477750,111.66,112.03,109.34
2018-10-09,112.26,26187200,111.14,113.08,110.80
2018-10-10,106.16,60560740,111.24,111.50,105.79
2018-10-11,105.91,63629560,105.35,108.93,104.20
2018-10-12,109.57,46718940,109.01,111.24,107.12
2018-10-15,107.60,32001580,108.91,109.48,106.95
2018-10-16,111.00,31154210,109.54,111.41,108.95
2018-10-17,110.71,25873980,111.68,111.81,109.55
2018-10-18,108.50,31794350,110.10,110.53,107.83
2018-10-19,108.66,32751070,108.93,110.86,108.21
2018-10-22,109.63,26484510,109.32,110.54,108.24
2018-10-23,108.10,43531680,107.77,108.97,105.11
2018-10-24,102.32,63236450,108.41,108.49,101.59
2018-10-25,108.30,61550620,106.55,109.27,106.15
2018-10-26,106.96,55480820,105.69,108.75,104.76
2018-10-29,103.85,55101300,108.11,108.70,101.63
2018-10-30,103.73,65273360,103.66,104.38,100.11
2018-10-31,106.81,51042220,105.44,108.14,105.39
2018-11-01,105.92,33243300,107.05,107.32,105.53
2018-11-02,106.16,37591700,106.48,107.32,104.98
2018-11-05,107.51,27908600,106.37,107.74,105.90
2018-11-06,107.72,24217640,107.38,108.84,106.28
2018-11-07,111.96,37864220,109.44,112.24,109.40
2018-11-08,111.75,25479410,111.80,112.21,110.91
2018-11-09,109.57,32011930,110.85,111.45,108.76
2018-11-12,106.87,33595910,109.42,109.96,106.10
2018-11-13,106.94,35360680,107.55,108.74,106.64
2018-11-14,104.97,39451290,108.10,108.26,104.47
2018-11-15,107.28,38430970,104.99,107.80,103.91
2018-11-16,108.29,33494830,107.08,108.88,106.80
2018-11-19,104.62,43324610,108.27,108.56,103.55
2018-11-20,101.71,63988520,101.80,102.97,99.35
2018-11-21,103.11,28121990,103.60,104.43,102.24
2018-11-23,103.07,13823100,102.17,103.81,102.00
2018-11-26,106.47,32258530,104.79,106.63,104.58
2018-11-27,107.14,29063180,106.27,107.33,105.36
2018-11-28,111.12,46132310,107.89,111.33,107.86
2018-11-29,110.19,27792540,110.33,111.12,109.03
2018-11-30,110.89,33652230,110.70,110.97,109.36
2018-12-03,112.09,34293960,113.00,113.42,110.73
2018-12-04,108.52,44572140,111.94,112.64,108.21
2018-12-06,109.19,47866160,105.82,109.24,105.00
2018-12-07,104.82,44391210,108.38,109.45,104.30
2018-12-10,107.59,40463870,104.80,107.98,103.89
2018-12-11,108.59,42342240,109.80,110.95,107.44
2018-12-12,109.08,36169700,110.89,111.27,109.04
2018-12-13,109.45,30600890,109.58,110.87,108.63
2018-12-14,106.03,46961130,108.25,109.26,105.50
2018-12-17,102.89,56837160,105.41,105.80,101.71
2018-12-18,103.97,48033550,103.75,104.51,102.52
2018-12-19,103.69,68110780,103.65,106.88,101.35
2018-12-20,101.51,70221500,103.05,104.31,98.78
2018-12-21,98.23,110945000,101.63,103.00,97.46
2018-12-24,94.13,43935190,97.68,97.97,93.98
2018-12-26,100.56,51330280,95.14,100.69,93.96
2018-12-27,101.18,49162950,99.30,101.19,96.40
2018-12-28,100.39,38160810,102.09,102.41,99.52
2018-12-31,101.57,33161320,101.29,102.40,100.44
2019-01-02,101.12,35145360,99.55,101.75,98.94
2019-01-03,97.40,42111650,100.10,100.19,97.20
2019-01-04,101.93,43982700,99.72,102.51,98.93
2019-01-07,102.06,35567820,101.64,103.27,100.98
2019-01-08,102.80,31322920,103.04,103.97,101.71
2019-01-09,104.27,32261890,103.86,104.88,103.24
2019-01-10,103.60,29978930,103.22,103.75,102.38
2019-01-11,102.80,28235260,103.19,103.44,101.64
2019-01-14,102.05,27194560,101.90,102.87,101.26
2019-01-15,105.01,31537490,102.51,105.05,101.88
2019-01-16,105.38,29655860,105.26,106.26,104.96
2019-01-17,106.12,27151570,105.00,106.63,104.76
2019-01-18,107.71,37299850,107.46,107.90,105.91
2019-01-22,105.68,32092050,106.75,107.10,104.86
2019-01-23,106.71,25512110,106.12,107.04,105.34
2019-01-24,106.20,23125910,106.86,107.00,105.34
2019-01-25,107.17,31182240,107.24,107.88,106.59
2019-01-28,105.08,29402020,106.26,106.48,104.66
2019-01-29,102.94,31262200,104.88,104.97,102.17
2019-01-30,106.38,47203190,104.62,106.38,104.33
2019-01-31,104.43,55442870,103.80,105.22,103.18
2019-02-01,102.78,35243730,103.78,104.10,102.35
2019-02-04,105.74,31216260,102.87,105.80,102.77
2019-02-05,107.22,27270810,106.06,107.27,105.96
2019-02-06,106.03,20577980,107.00,107.00,105.53
2019-02-07,105.27,29735930,105.19,105.59,104.29
2019-02-08,105.67,21453990,104.39,105.78,104.26
2019-02-11,105.25,18753750,106.20,106.58,104.97
2019-02-12,106.89,25018670,106.14,107.14,105.48
2019-02-13,106.81,18337830,107.50,107.78,106.71
2019-02-14,106.90,21745770,106.31,107.29,105.66
